2020-11-11 20:54:03.707 [restartedMain] INFO  com.mzl.logbackdemo2.LogbackDemo2Application - Starting LogbackDemo2Application on LAPTOP-FK4AGT9C with PID 26924 (D:\IDEA\Idea-workplace\logback-demo2\target\classes started by 21989 in D:\IDEA\Idea-workplace\logback-demo2)
2020-11-11 20:54:03.711 [restartedMain] INFO  com.mzl.logbackdemo2.LogbackDemo2Application - No active profile set, falling back to default profiles: default
2020-11-11 20:54:03.766 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-11-11 20:54:03.767 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-11-11 20:54:04.794 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-11-11 20:54:04.803 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-11-11 20:54:04.803 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-11-11 20:54:04.804 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.39]
2020-11-11 20:54:04.889 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-11-11 20:54:04.889 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1119 ms
2020-11-11 20:54:05.033 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-11 20:54:05.187 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-11-11 20:54:05.201 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-11-11 20:54:05.221 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-11-11 20:54:05.233 [restartedMain] INFO  com.mzl.logbackdemo2.LogbackDemo2Application - Started LogbackDemo2Application in 2.127 seconds (JVM running for 4.035)
2020-11-11 21:04:44.856 [restartedMain] INFO  com.mzl.logbackdemo2.LogbackDemo2Application - Starting LogbackDemo2Application on LAPTOP-FK4AGT9C with PID 22164 (D:\IDEA\Idea-workplace\logback-demo2\target\classes started by 21989 in D:\IDEA\Idea-workplace\logback-demo2)
2020-11-11 21:04:44.864 [restartedMain] INFO  com.mzl.logbackdemo2.LogbackDemo2Application - No active profile set, falling back to default profiles: default
2020-11-11 21:04:44.961 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-11-11 21:04:44.962 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-11-11 21:04:46.070 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-11-11 21:04:46.080 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-11-11 21:04:46.081 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-11-11 21:04:46.081 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.39]
2020-11-11 21:04:46.182 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-11-11 21:04:46.183 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1220 ms
2020-11-11 21:04:46.404 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-11 21:04:46.520 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-11-11 21:04:46.532 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-11-11 21:04:46.550 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-11-11 21:04:46.558 [restartedMain] INFO  com.mzl.logbackdemo2.LogbackDemo2Application - Started LogbackDemo2Application in 2.281 seconds (JVM running for 4.282)
2020-11-11 21:04:55.722 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-11 21:04:55.723 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-11 21:04:55.728 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2020-11-11 21:04:55.760 [http-nio-8080-exec-1] INFO  com.mzl.logbackdemo2.controller.LogbackController - 日志输出 info
